FEATURE_ID,PRK_COVER,PRK_SECURE,PRK_LOCKER,PRK_CPT,BOROUGH,PHOTO1_URL,PHOTO2_URL
RWG014703,False,False,False,6.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014703_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014703_2.jpg
RWG014704,False,False,False,6.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014704_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014704_2.jpg
RWG014970,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014970_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014970_2.jpg
RWG015506,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015506_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015506_2.jpg
RWG015513,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015513_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015513_2.jpg
RWG015530,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015530_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015530_2.jpg
RWG048282,False,False,False,12.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048282_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048282_2.jpg
RWG048289,False,False,False,6.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048289_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048289_2.jpg
RWG015492,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015492_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015492_2.jpg
RWG014697,True,False,False,14.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014697_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014697_2.jpg
RWG014699,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014699_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014699_2.jpg
RWG014701,False,False,False,6.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014701_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014701_2.jpg
RWG014690,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014690_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014690_2.jpg
RWG014687,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014687_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014687_2.jpg
RWG048296,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048296_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048296_2.jpg
RWG014693,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014693_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014693_2.jpg
RWG014692,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014692_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014692_2.jpg
RWG014936,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014936_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014936_2.jpg
RWG048325,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048325_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048325_2.jpg
RWG048327,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048327_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048327_2.jpg
RWG015026,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015026_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015026_2.jpg
