Title,Latitude,Longitude
RWG014703,51.5103212773,-0.2427797672
RWG014704,51.5102610544,-0.2427846609
RWG014970,51.5014706358,-0.2405751224
RWG015506,51.5065007339,-0.2382877591
RWG015513,51.5062848196,-0.2384457427
RWG015530,51.5138990015,-0.2337199142
RWG048282,51.5165929837,-0.2473524167
RWG048289,51.5060320433,-0.2289214091
RWG015492,51.5064710845,-0.2326502118
RWG014697,51.515491202,-0.2435097218
RWG014699,51.5157349149,-0.2409637255
RWG014701,51.5104486006,-0.2415134922
RWG014690,51.514044591,-0.2484111606
RWG014687,51.515441914,-0.2492371701
RWG048296,51.5054997833,-0.22691983
RWG014693,51.5145652827,-0.2489721534
RWG014692,51.5141146969,-0.2489203515
RWG014936,51.506425422,-0.2406202124
RWG048325,51.5042839196,-0.2237082535
RWG048327,51.5051639247,-0.2250825645
RWG015026,51.5027010006,-0.2248228055
RWG044140,51.5019749019,-0.2419007853
RWG044141,51.5019935444,-0.2418823565
RWG044144,51.5024293291,-0.2268412496
RWG048300,51.5057419924,-0.228095776
RWG015205,51.5204635938,-0.2181299331
RWG014798,51.5224393961,-0.2128330654
RWG015033,51.5036008864,-0.2240500429
RWG048216,51.5104898189,-0.2317650987
RWG048332,51.5054305872,-0.2257749705
RWG048233,51.5105464663,-0.235272582
RWG044149,51.5022607693,-0.2424903309
RWG014702,51.5102966553,-0.2438074502
RWG014963,51.5008817253,-0.2396744629
RWG014691,51.5140578684,-0.2488426149
RWG048232,51.5105905389,-0.235280169
RWG048272,51.5096959078,-0.2243677443
RWG015229,51.5168202973,-0.2470080782
RWG048278,51.5065515498,-0.2340261739
RWG015485,51.5063355143,-0.2315081332
RWG044168,51.5045007023,-0.2184615283
RWG048348,51.5024001544,-0.2270341412
RWG048235,51.5063800986,-0.2244984923
RWG048236,51.50648045,-0.2244938674
RWG048237,51.5065693888,-0.2385958412
RWG015504,51.5065220226,-0.2368942383
RWG015134,51.5029210533,-0.2431960222
RWG015156,51.5028331172,-0.2510478997
RWG048219,51.5106428401,-0.233341066
RWG014776,51.5322645945,-0.2451152329
RWG015505,51.5065054564,-0.2377971801
RWG015507,51.5065149726,-0.2386901851
RWG048183,51.5100976213,-0.2343241959
RWG048197,51.5115784196,-0.2296036072
RWG048262,51.5137884271,-0.2259420476
RWG108211,51.5107514756,-0.2352360618
RWG015089,51.5043671777,-0.2435072313
RWG015275,51.5106063962,-0.2349080613
RWG015277,51.5114070459,-0.2350977972
RWG015278,51.5114095649,-0.2350120717
RWG048146,51.5239757039,-0.2219979254
RWG048230,51.5110028685,-0.2352730118
RWG048231,51.5110078118,-0.2351964124
RWG014962,51.5009407474,-0.2398743267
RWG014964,51.5010851374,-0.2399595968
RWG044142,51.5020845295,-0.2419297605
RWG044128,51.4996479538,-0.2400802475
RWG048273,51.5095262588,-0.2243850039
RWG048275,51.5143381713,-0.2329151584
RWG102434,51.5016836293,-0.241153256
RWG014942,51.5065372856,-0.2390929901
RWG014943,51.5065482278,-0.239356383
RWG014944,51.5083648166,-0.2393861879
RWG014978,51.5015543145,-0.2403595365
RWG014886,51.5023657867,-0.2295858259
RWG044137,51.5016799839,-0.2416000781
RWG015446,51.516667568,-0.2271222652
RWG048279,51.5139388619,-0.2348823248
RWG015433,51.5183946412,-0.2277181799
RWG015528,51.5125943163,-0.2345682454
RWG015529,51.5138526032,-0.2337540772
RWG015531,51.5140973597,-0.2319461372
RWG015533,51.5079942003,-0.2165568888
RWG048198,51.5163920711,-0.2269625302
RWG044123,51.5012856417,-0.2326083594
RWG015282,51.5182960821,-0.210027387
RWG015133,51.5028061513,-0.2431465178
RWG014965,51.500971235,-0.2397215219
RWG048163,51.5119015353,-0.2247331779
RWG048164,51.5119189774,-0.224737996
RWG048168,51.5089382491,-0.2199984285
RWG048182,51.5101454972,-0.2343498374
RWG048234,51.509580305,-0.2374494013
RWG048194,51.5049637578,-0.2182250801
RWG015289,51.5176727393,-0.2054845239
RWG015292,51.517393664,-0.2066422697
RWG015468,51.5193905405,-0.2089174166
RWG015526,51.5052650422,-0.2173408793
RWG048170,51.5107977318,-0.2189952357
RWG014888,51.5026192209,-0.2293816907
RWG014889,51.5025196002,-0.2289439789
RWG048335,51.5031583387,-0.228707438
RWG048337,51.5013963676,-0.2321527003
RWG048339,51.5020360573,-0.2289919757
RWG048340,51.5020663841,-0.2288107897
RWG015484,51.5058365753,-0.2256769396
RWG015573,51.5076811608,-0.2159477788
RWG044133,51.5011010987,-0.2332109744
RWG048047,51.5184311391,-0.2435881074
RWG014960,51.5004169429,-0.2396371161
RWG014923,51.5024879044,-0.2354086433
RWG044136,51.5016545574,-0.2415341976
RWG014922,51.5115682544,-0.245521004
RWG014925,51.5024933278,-0.2374928889
RWG102426,51.5024811148,-0.2374269648
RWG048195,51.5048860797,-0.2182442778
RWG015497,51.5065421353,-0.235093608
RWG015499,51.5065456688,-0.2365326126
RWG048328,51.5051964287,-0.225248412
RWG048329,51.5052205557,-0.2253729386
RWG044155,51.5069812682,-0.2065699145
RWG044169,51.5045319202,-0.2183065097
RWG015554,51.505129071,-0.2182170791
RWG015555,51.5052052102,-0.218205502
RWG048180,51.5109760015,-0.2295094495
RWG048184,51.5111489527,-0.2347128328
RWG048185,51.5112810163,-0.2347431859
RWG044124,51.5012513267,-0.2327238507
RWG044125,51.501569006,-0.2313489868
RWG044126,51.5022897502,-0.2276327549
RWG048331,51.5052755225,-0.2258523547
